Course Number,Course Name,Number of Units,Description,Prerequisites
SOCI 187E,The Sixties ,4,"Course focuses on the different types of social structures and political systems in Latin America. Topics include positions in the world economy, varieties of class structure and ethnic cleavages, political regimes, mobilization and legitimacy, class alignments, reform and revolution. ",upper-division standing. Will not receive credit for SOCI 188D and SOCD 188D.
SOCI 188D,Latin America: Society and Politics ,4,"The process of social change in African communities, with emphasis on changing ways of seeing the world and the effects of religion and political philosophies of social change. The methods and data used in various village and community studies in Africa will be critically examined. ",upper-division standing. Will not receive credit for SOCI 188E and SOCD 188A.
SOCI 188E,Community and Social Change in Africa ,4,"Contradictory effects of modernization on Jewish society in Western and Eastern Europe and the plethora of Jewish responses: assimilation, fundamentalism, emigration, socialism, diaspora nationalism, and Zionism. Special attention will be paid to issues of discontinuity between Jewish societies and Israeli society. Simultaneously, we will scrutinize the influence of the Palestinian-Israeli conflict on Israeli society, state, and identity. ",upper-division standing. Will not receive credit for SOCI 188F and SOCD 188F.
SOCI 188F,Modern Jewish Societies and Israeli Society ,4,"The social structure of the Peoples Republic of China since 1949, including a consideration of social organization at various levels: the economy, the policy, the community, and kinship institutions. ",upper-division standing. Will not receive credit for SOCI 188G and SOCD 188B.
SOCI 188G,Chinese Society ,4,"In this course we will examine the national and colonial dimensions of this long-lasting conflict and then turn our attention to the legal, governmental/political, and everyday aspects of the Israeli occupation of the West Bank and Gaza following the 1967 war. ",upper-division standing.
SOCI 188I,The Israeli-Palestinian Conflict ,4,"Using sociological and historical perspectives, this course examines the origins and demise of apartheid and assesses the progress that has been made since 1994, when apartheid was officially ended. Contrasts of racism in South Africa and the United States. ",upper-division standing. Will not receive credit for SOCI 188J and SOCD 188J.
SOCI 188J,Change in Modern South Africa ,4,"Comparative and historical perspectives on US society. The course highlights American exceptionalism: Did America follow a special historical path, different from comparable nations in its social relations, politics, and culture? Specific topics include class relations, race, religion, and social policy. ",upper-division standing. Will not receive credit for SOCI 188K and SOCD 188K.
SOCI 188K,American Society ,4,"Course examines theories of social movements and changing patterns of popular protest and contentious mobilization in Latin America since the mid-twentieth century. Case studies include populism, guerrillas, liberation theology and movements of workers, peasants, women, and indigenous groups. ",upper-division standing.
SOCI 188M,Social Movements in Latin America ,4,"We will examine the social, political, and religious factors that affect the nexus of Israeli settlements and Israeli-Arab and Israeli-Palestinian peace making. Special attention will be paid to the period after the 1967 War when these processes begun as well as to alternative resolutions to the conflict. ",upper-division standing.
SOCI 188O,Settlements and Peacemaking in Israel ,4,"Readings and discussion in selected areas of comparative and historical macrosociology. Topics may include the analysis of a particular research problem, the study of a specific society or of cross-national institutions, and the review of different theoretical perspectives. Contents will vary from year to year. ",upper-division standing.
SOCI 189,Special Topics in Comparative-Historical Sociology ,4,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in sociology (at the upper-division level). Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and permission of the department. Enrollment is limited to twenty students, with preference given to seniors. (P/NP grades only.) ","instructor permission or department stamp, upper-division standing."
SOCI 192,Senior Seminar in Sociology ,1,"(Same as PS 194, COGN 194, ERTH 194, HIST 193, USP 194.) Course attached to six-unit internship taken by students participating in the UCDC Program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial research paper. ",department approval. Participating in UCDC Program. Will not receive credit for SOCI 194 and SOCE 194.
SOCI 194,"Research Seminar in Washington, DC ",4,This seminar will permit honors students to explore advanced issues in the field of sociology. It will also provide honors students the opportunity to develop a senior thesis proposal on a topic of their choice and begin preliminary work on the honors thesis under faculty supervision. ,acceptance into Department of Sociology Honors Program.
SOCI 196A,Honors Seminar: Advanced Studies in Sociology ,4,This seminar will provide honors candidates the opportunity to complete research on and preparation of a senior honors thesis under close faculty supervision. ,completion of SOCI 196A.
SOCI 196B,Honors Seminar: Supervised Thesis Research ,4,Group study of specific topics under the direction of an interested faculty member. Enrollment will be limited to a small group of students who have developed their topic and secured appropriate approval from the departmental committee on independent and group studies. These studies are to be conducted only in areas not covered in regular sociology courses. ,junior standing and departmental approval required.
SOCI 198,Directed Group Study ,4,Tutorial: individual study under the direction of an interested faculty member in an area not covered by the present course offerings. Approval must be secured from the departmental committee on independent studies. ,junior standing and departmental approval required.
SOCI 199,Independent Study ,4,A discussion of major themes in the work of Tocqueville and Marx. ,graduate standing in sociology.
Soc/G 201A,Classical Sociological Theory I ,4,A discussion of major themes in the work of Weber and Durkheim. ,graduate standing in sociology.
Soc/G 201B,Classical Sociological Theory II ,4,"Themes important for social theory at the turn of the twenty-first century: Marxism (Gramsci, Althusser), critical theory (Adorno, Habermas), interpretation (Geertz), social systems (Parsons), post-structuralism (Foucault), postmodernism, and social constructivism (Bourdieu). ",graduate standing in sociology.
Soc/G 202,Contemporary Sociological Theory ,4,Research will be conducted in field settings. The primary focus will be on mastering the problems and technical skills associated with the conduct of ethnographic and participant observational studies. ,graduate standing in sociology.
Soc/G 203,Field Methods ,4,"Techniques of gathering and analyzing transcripts of naturally occurring conversations, interviews, discourse in institutional settings, public political discourse, and text of historical materials. ",graduate standing in sociology.
Soc/G 204,Text and Discourse Analysis ,4,"This course covers some of the elementary techniques used 1) to select random samples, 2) to detect statistical patterns in the sample data, and 3) to determine whether any patterns found in sample data are statistically significant. The course also stresses the benefits and drawbacks of survey and aggregate data and some common ways in which these data are used incorrectly. ",graduate standing in sociology.
Soc/G 205,Quantitative Methods I ,4,"The course covers some of the more advanced techniques used 1) to select random samples, 2) to detect statistical patterns in the sample data, and 3) to determine whether any patterns found in sample data are statistically significant. The course also stresses the benefits and drawbacks of survey and aggregate data and some common ways in which these data are used incorrectly. ",graduate standing in sociology.
Soc/G 206,Quantitative Methods II ,4,"A broad-based consideration of the use of historical materials in sociological analysis, especially as this facilitates empirically oriented studies across different societies and through time. ",graduate standing in sociology.
Soc/G 207,Comparative-Historical Methods ,4,An introduction for entering graduate students to the range and variety of research and scholarly interest of the departments faculty. Through this introduction students will be better able to relate their own research interests and professional objectives to the ongoing work of faculty. ),graduate standing in sociology. (S/U grades only.)
Soc/G 208,Faculty Research Seminar ,2,"This course provides an accessible, graduate level introduction to social network analysis as a theoretical and methodological approachone takes relationships rather than individuals as the fundamental unit of analysis. While the course will focus on concepts and applications rather than statistical models, students will also become acquainted with basic analytic techniques as well as learn how to collect, store, inspect, and visualize original network data. ",graduate standing in sociology.
Soc/G 209,Social Networks ,4,"This course provides an overview and practical, hands-on introduction to some of the common tools employed in computational approaches to social science research. Students will acquire sufficient skills to use existing tools to conduct computational social science research, such as basic Python language. Recommended preparation: knowledge of or background in statistics. ",graduate standing in sociology.
Soc/G 211,Introduction to Computational Social Science ,4,"The causes and effects of social ranking in various societies. Theories of stratification; the dynamics of informal social grouping; determinants of institutional power, and the nature of struggles for power; the distribution of wealth and its causes; the dynamics of social mobility; the effects of stratification on life-styles, culture, and deviance. ",graduate standing in sociology.
Soc/G 212,Social Stratification ,4,"A survey of topics in urban sociology, including the city and suburb as social forms, civility among strangers, urbanism and culture, the political economy of metropolitan development, urban poverty, and racial residential segregation. Classical and contemporary approaches will be considered. ",graduate standing in sociology.
Soc/G 214 Urban Sociology (4),Soc/G 214 Urban Sociology ,4,The history of the concept of culture; cultural pluralism in advanced industrialized societies; the differentiation of cultural institutions; cultural policy and social structure; culture as a property of social groups; conflict and accommodation over efforts to change and sustain traditional culture.,none
Soc/G 216,Sociology of Culture ,4,"An examination of theories accounting for the causes and consequences of social movements, including a discussion of the strengths and weaknesses of such theories for understanding historically specific revolutions, rebellions, and violent and nonviolent forms of protest in various parts of the world. ",graduate standing in sociology.
Soc/G 222,Social Movements ,4,"This course discusses the relationship between state and society in a comparative perspective. The focus is on the interaction among states, domestic economic elites, and external economic and political processes in the determination of different developmental paths. Analytically, it includes topics such as characteristics and functions of the state in different types of society throughout history (with an emphasis on the varieties of capitalist and socialist state), the autonomy of the state and its causes in different settings, and developmental and predatory consequences of state activity. Readings will include both theoretical and empirical materials, the latter dealing mostly with nineteenth- and twentieth-century Europe and twentieth-century Latin America. ",graduate standing in sociology.
Soc/G 226,Political Sociology ,4,"Ethnographic recording of field data in written and audiovisual formats, including film, video, and CD-ROM applications. Critical assessment of ethnographies and audiovisual data in terms of styles, format, and approaches. Graduate students are required to submit a fifteen-page mid-term paper comparing a written and an audiovisual ethnography and a final video ethnography with a project abstract. ","graduate standing; SOCI 1, SOCI 2; or consent of instructor."
Soc/G 227,Ethnographic Film: Media Methods ,6,"The social construction of knowledge and the social institutions in which these processes take place are examined. Topics include relationships between knowledge and social institutions, foundations of knowledge in society, knowledge and social interactions, and contrasting folk and specialized theories. ",graduate standing in sociology.
Soc/G 232,Advanced Issues in the Sociology of Knowledge ,4,"This course focuses on some classic methodological and theoretical resources upon which the sociology of science, technology, and medicine all draw. It gives special attention to relationships between knowledge and social order, and between knowledge and practice, that are common to science, technology, and medicine. ",graduate standing in sociology.
Soc/G 234,"Intellectual Foundation of the Study of Science, Technology, and Medicine ",4,"An introduction to some enduring topics in the sociology of scientific knowledge and to some resources for addressing them. Attention is drawn to problems of accounting for scientific order and change, and to recurrent debates over the proper method for sociological accounts of science. ",graduate standing.
Soc/G 238,Survey of the Sociology of Scientific Knowledge ,4,"An examination of the sociological literature on social control, looking at theoretical developments over time and examining the contemporary literature dealing with social control in historical and comparative perspective. ",graduate standing.
Soc/G 243,Sociology of Social Control ,4,"Analysis of enduring topics in the study of race and ethnicity, including stratification, discrimination conflict, immigration, assimilation, and politics. Other topics include racial and ethnic identity and the social construction of race and ethnic categories. A special focus is on the role of culture and structure for explaining race/ethnic differentiation. ",graduate standing in sociology.
Soc/G 244,Sociology of Race and Ethnicity ,4,"This course studies social constructions of gender within economic opportunities and constraints. We read classical sociological theory on this topic; feminist critiques; and newer research on careers, organizations, and markets. ",graduate standing in sociology.
Soc/G 245,"Gender, Work, and the Economy ",4,"Surveys major theories of the development and functioning of the welfare state, addressing the roles of economic development, political institutions, stratification, and culture. The course focuses on the development of the US social provision in comparison with other advanced industrial societies.",none
Soc/G 246,The Welfare State ,4,An examination of changing Western responses from the age of Bedlam to the age of Prozac. Topics include: the rise and decline of the total institution; the emergence of psychiatry; changing cultural meanings of madness; and the therapeutics of mental disorder. ,graduate standing in sociology.
Soc/G 247,Madness and Society ,4,"In this seminar students work on a research project, which might have originated in a paper written for another course. The goal is to produce the first draft of a paper that will be submitted to an academic journal. ",graduate standing in sociology.
Soc/G 252,Research Practicum I ,4,"In this seminar students revise an existing research paper (usually the one they wrote for Sociology 252) for submission to an academic journal. Emphasis is placed on conceptual development, writing style and structure, and drawing links to the existing theoretical and empirical literature. ",graduate standing in sociology.
Soc/G 253,Research Practicum II ,4,"(Same as Phil 209A, HIGR 238, and COGR 225A.) Study and discussion of classic work in history of science, sociology of science, and philosophy of science, and of work that attempts to develop a unified science studies approach. Required for all students in the Science Studies Program. ",enrollment in Science Studies Program.
Soc/G 255A,Introduction to Science Studies ,4,"(Same as Phil 209B, HIGR 239, and COGR 225B.) Study and discussion of selected topics in the science studies field. Required for all students in the Science Studies Program. ",enrollment in Science Studies Program.
Soc/G 255B,Seminar in Science Studies ,4,"(Same as Phil 209C, HIGR 240, and COGR 225C.) A forum for the presentation and discussion of research in progress in science studies, by graduate students, faculty, and visitors. Required of all students in the Science Studies Program. ",enrollment in the Science Studies Program.
Soc/G 255C,Colloquium in Science Studies ,4,"(Same as COGR 225D, HIGR 241, Phil 209D.) Focus on recent literature in the history, philosophy, and sociology of science, technology, and medicine. Required of all students in the Science Studies Program. ",Soc/G 255A is a prerequisite for Soc/G 255D; enrollment in Science Studies Program or instructor’s permission.
Soc/G 255D,Advanced Approaches to Science Studies ,4,"This course explores institutional change in contemporary Latin America, and compares this area with other transitional societies. Issues include social consequences of economic liberalization, changing forms of inequality, dynamics of civil society, conceptions of citizenship, quality and future of democracy. ",graduate standing.
Soc/G 258,Institutional Change in the Contemporary World; Latin American Societies in a Comparative Perspective ,4,This seminar explores the production and interpretation of art forms in cross-cultural context. Processes of symbolic and economic exchange in art worlds will be examined from sociological and semiotic perspectives. Contemporary and popular art forms will be analyzed as types of cultural reproduction. Graduate students will be required to submit a project abstract and final research paper of twenty-seven pages. ,graduate standing in sociology.
Soc/G 263,Graduate Seminar in the Sociology of Art ,4,"This course provides an overview of the classical and current debates in the economic sociology literature. It presents theories of the rise of industrial economics and addresses how economic activities are constituted and influenced by institutions, culture, and social structure. ",graduate standing in sociology.
Soc/G 264,Economic Sociology ,4,"Course examines social construction of gender focusing on recent contributions to the field, including micro- and macro-level topics, i.e., social psychological issues in the development of gender, gender stratification in the labor force, gender and social protest, feminist methodologies. ",graduate standing in sociology.
Soc/G 267,Sociology of Gender ,4,"Will examine the controversies surrounding the construction of the modern citizen and the good society of the liberal outlook, and their alternatives in the communitarian, social-democratic, nationalist, feminist, and multiculturalist perspectives. ",graduate standing in sociology.
Soc/G 269,The Citizenship Debates ,4,"This course focuses on theoretical and empirical approaches to the study of immigration, assimilation, and identity. The course will focus primarily on the post-1965 immigrants, but consideration will also be given to earlier waves of immigration. ",graduate standing in sociology.
Soc/G 278,"Immigration, Assimilation, and Identity ",4,"Alternative theories of the relations of immigrants and host societies, and an examination on the debates on, and dynamic of, immigration expansion and restriction. Comparison of the bearing of liberal, communitarian, and ethnic citizenship discourses on the inclusion and exclusion of immigrants and their descendants. ",graduate standing in sociology.
Soc/G 282,Immigration and Citizen ,4,Develops central themes in medical sociology in order to understand twentieth- and twenty-first century medical practice and research. Topics include authority and expertise; health inequalities; managed care; health activism; biomedical knowledge production; and the construction of medical objects and subjects. ,graduate standing.
Soc/G 284,Contemporary Biomedicine ,4,This seminar examines the place of scientific knowledge and information and communication technology in the transformation of capitalist economy and society. The class explores new interactions between science studies and social theory of advanced capitalism. ,graduate standing in sociology.
Soc/G 288,Knowledge Capitalism ,4,"A research seminar in special topics of interest to available staff, provides majors and minors in sociology with research experience in close cooperation with faculty. (S/U grades permitted.) ",graduate standing in sociology.
Soc/G 290,Graduate Seminar ,4,Tutorial individual guides study and/or independent research in an area not covered by present course offerings. (S/U grades only.) ,graduate standing in sociology; departmental approval.
Soc/G 298,Independent Study ,1–8,Open to graduate students engaged in thesis research. (S/U grades only.) ,graduate standing in sociology.
Soc/G 299,Thesis Research ,1–12,"Supervised teaching in lower-division contact classes, supplemented by seminar on methods in teaching sociology. (S/U grades only.) ",graduate standing in sociology. Technology done under the direction of a faculty member. College stamp required. Pass/Not Pass grade only.
TDAC 1,Introduction to Acting ,4,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actors primary resource, and the basic approach to text through action. ",none.
TDAC 101,Acting I ,4,This course focuses on beginning scene study with an emphasis on exploring action/objective and the given circumstances of a selected text. ,THAC or TDAC 1 or consent of instructor.
TDAC 102,Acting II ,4,Further study in the application of the given circumstances to a text and the development of characterization. ,TDAC 101.
TDAC 103A,Acting Intensive I ,4,"An intensive foundation class for students interested in professional actor training. Using Viewpoints, students will train the physical, vocal, and emotional aspects of their actor instrument toward developing character and relationships by using scenes from contemporary and modern plays. ",TDAC 102.
TDAC 103B,Acting Intensive II ,4,"A continuation of TDAC 103A. Working from Meisner technique, students will learn to deepen and detail their objectives, spontaneous response, and deep listening skills. Focus on the process that will lead to scene work using this technique. ","TDAC 103A, department stamp, and consent of instructor."
TDAC 104,Classical Text ,4,"Studies in the heightened realities of poetic drama. Verse analysis, research, methods and how to approach a classical dialogue. ",TDAC 102.
TDAC 105,Rehearing Shakespeare ,4,Advanced exploration of Shakespeares language through examining and performing scenes from the plays. Admission by audition/interview. May be taken for credit two times. ,TDAC 102.
TDAC 106,Chekhov Acting ,4,"Practical exercises, discussion, text analysis, and scene work on the writings of Anton Chekhov. Admission by audition/interview. ",TDAC 102.
TDAC 107,Improvisation for the Theatre ,4,Improvisation for the Theatre explores improvisation techniques as an alternative and unique approach to acting. Students should have a performance background. ,THAC or TDAC 1.
TDAC 108,Advanced Topics ,4,"Advanced topics in acting, such as avant-garde drama, commedia, or Beckett, for students who possess basic acting techniques. May be taken for credit four times. ",TDAC 102.
TDAC 109,Singing for Actors ,4,"This course introduces basic skills of breathing, placement, diction, musicianship, harmony, interpretation, and presentation needed by actors for roles requiring singing. Through a combination of group and individual coaching in class, students will prepare a program of short solo and ensemble pieces for a finals-week presentation. ",THAC or TDAC 1 and audition; department stamp.
TDAC 110,Acting for the Camera ,4,This course is designed to aid the actor in the transition from stage to film work. Examination of film production and its physical characteristics and the acting style needed for work in film and television. Students will perform in simulated studio setting on camera. ,TDAC 102.
TDAC 111,Freeing the Voice ,4,"Intensive workshop for actors and directors designed to free the voice, with special emphasis on characteristics and vocal flexibility in a wide range of dramatic texts. This proven method combines experimental and didactic learning with selected exercises, texts, tapes, films, and total time commitment. ",TDAC 101 and audition/interview required.
TDAC 112,Senior Seminar in Acting ,4,An in-depth study seminar focused on special issues in acting as they relate to contemporary theatre. Of particular interest to students who plan to pursue a career in this area of theatre. ,TDAC 102.
TDAC 115,Movement for Actors ,4,"An exploration of the wide array of physical skills necessary for the actor. Using techniques derived from mime, clowning, sports, acrobatics, and improvisation, students will investigate their individual physical potential as well as their sense of creativity and imagination. ",THAC or TDAC 101.
TDAC 120,Ensemble ,4,"An intensive theatre practicum designed to generate theatre created by an ensemble with particular emphasis upon the analysis of text. Students will explore and analyze the script and its author. Ensemble segments include black theatre, Chicano theatre, feminist theatre, and commedia dellarte. Audition may be required. A maximum of four units may be used for major credit. (Cross-listed with ETHN 146A.) ",upper-division standing or consent of instructor.
TDAC 122,Ensemble: Undergraduate Production ,4,Participation in a fully staged theatre production directed by an MFA or PhD student for the Department of Theatre and Dance. Admission by audition only. A maximum of four units may be used for major credit. ,consent of the instructor; department stamp.
TDAC 123,Advanced Studies in Performance ,4,Participation in a fully staged season production that is directed by a faculty member or guest for the Department of Theatre and Dance. Admission by audition only. A maximum of four units may be used for major credit. ,consent of the instructor; department stamp.
TDDE 1,Introduction to Design for the Theatre ,4,"A survey of contemporary and historical concepts and practices in the visual arts of the theatre; studies in text analysis, studio processes and technical production; elementary work in design criticism, scale model making, and costume design. A course serving as an introduction to theatre design and production.",none
TDDE 101,Theatre Process—Scenery ,4,"A hands-on course develops craft skills and solution-finding process in design including script analysis, concept sketches, research, and scale model making. An exploration of fundamental ways of seeing and understanding visual design. ",THDE or TDDE 1 or THPR 1.
TDDE 102,Advanced Scenic Design ,4,"An advanced course based on the practice of scenic design, dealing with the solution finding process, from text to idea to realized work. ","THDE or TDDE 1, THDE or TDDE 101, or consent of instructor."
TDDE 111,Theatre Process—Costume Design ,4,"The process of the costume designer from script analysis and research visualization of ideas, through the process of costume design. Lecture and demonstration labs parallel lecture material. This course is intended for those interested in a basic understanding of the costumers process. No previous drawing or painting skills required. ",THDE or TDDE 1.
TDDE 112,Advanced Costume Design ,4,"An advanced course based on the practice of costume design, dealing with the solution finding process, from text to idea to realized work. ","THDE or TDDE 1, THDE or TDDE 111, or consent of instructor."
TDDE 121,Theatre Process—Lighting Design ,4,"One of three classes in theatre process. The course aims to develop basic skills in lighting design through practical projects, lab work and lecture. These emphasize collaborating, manipulating light and color, and developing craft skills. ",THDE or TDDE 1 or THPR or TDPR 3 or consent of instructor.
TDDE 130,Assistant Designer ,2–6,"A production-oriented course that continues to introduce students to the fundamentals of design assisting. Laboratory format allows the student to work with faculty, graduate, or advanced undergraduate theatre designers, doing research, developing design concepts, and supporting the designer in a number of professional ways. May be taken for credit two times. ","THDE or TDDE 1, any upper-division undergraduate theatre design class, THPR or TDPR 1, 2, 3, or 5; and consent of instructor; department stamp."
TDDE 131,Special Topics in Theatre Design ,4,A course designed to expose the theatre design students to a variety of specialized topics that will vary from quarter to quarter. May be taken for credit three times. ,THDE or TDDE 1 or consent of instructor.
TDDE 132,Undergraduate Main Stage Production: Design ,4,A course that will guide a student in a design assignment on the undergraduate main stage production. Specialized topics dependent on the design requirements of the production. May be taken for credit three times. ,"THDE or TDDE 1 and THDE or TDDE 101 or THDE or TDDE 121, or THDE or TDDE 131, or consent of instructor."
TDDE 141,Theatre Process—Sound Design ,4,A hands-on course on the process of sound design from conception to planning and implementation. The course will concentrate equally on the technical and artistic aspects of the sound design process and will include a survey of modern audio technologies. ,TDPR 5 or TDPR 6 or TDDE 1 or MUS 173 or consent of instructor.
TDDE 142,Advanced Sound Design ,4,This course focuses on advancing students in their artistic and technical skills in sound design. A large-scale project will be identified with special attention given to text analysis and technical specification of the sound design. ,"TDDE 1 and TDDE 141 or equivalent, or consent of instructor."
TDDE 151,Digital Video Design ,4,"This course will examine the field of projection design for theatre and dance performance. Students will study and produce original works based on the theoretical and aesthetic approaches of animation, film, performance, and installation art that influence contemporary projection design. ",upper-division standing or consent of instructor.
TDDE 169A,Digital Rendering for Theatre and Performance Design I ,4,"Introductory course that explores a variety of digital rendering methods for artistic 2-D, 3-D, and moving graphics visualization in theatre and performance design. Course objective is to synthesize and expand traditional drawing and painting methods with modern digital media-based applications. ",none.
TDDE 169B,Digital Rendering for Theatre and Performance Design II ,4,"A continuation of TDDE 169A. Studio course explores advanced digital rendering methods for artistic 2-D, 3-D, and moving graphics for theatre and performance design. Focus will be on advanced techniques in the process of visualization from conception to production. ",TDDE 169A.
TDDE 190,Major Project in Design/Theatre Production ,4,"For the advanced design/production student. Concentration on a particularly challenging design or theatre production assignment, including such areas as assistant designer (scenery, lighting, or costumes), technical director, master cutter, or master electrician. May be repeated one time for credit. A maximum of eight units of major project study, regardless of area (design, directing, or stage management) may be used to fulfill major requirements. May be taken for credit two times. ",admission by consent of instructor only. See department for application form.
TDDR 101,Stage Management ,4,"Discussion and research into the duties, responsibilities, and roles of a stage manager. Work to include studies in script analysis, communication, rehearsal procedures, performance skills, and style and conceptual approach to theatre. THGE or TDGE 1, THAC or TDAC 1, and THDE or TDDE 1 recommended.",none
TDDR 108,Text Analysis for Actors and Directors ,4,"This is an introductory class in the process of understanding the play script. The class will focus on analyzing the story and the underlying dramatic structure in terms of dramatic action. Objectives, actions, choices, given circumstances, and character will be examined. ",upper-division standing or consent of instructor.
TDDR 111,Directing-Acting Process ,4,"A studio class that investigates the fundamental skills a director needs to work with actors. Working with actors, students learn how to animate the text onstage through status exercises and scene work as they develop their skill in text work, staging, and dramatic storytelling. ",THDR or TDDR 108 or THHS or TDHT 10.
TDDR 190,Major Project in Directing ,4,"For the advanced student in directing. Intensive concentration on the full realization of a dramatic text from research and analysis through rehearsal and into performance. A maximum of eight units of major project study, regardless of area (design, directing, or stage management) may be used to fulfill major requirements. See department for application. May be taken for credit two times. ","THDR or TDDR 108, THDR or TDDR 111, consent of instructor, and department stamp."
TDDR 191,Major Project in Stage Management ,4,"For the advanced student in stage management. Intensive concentration on the full realization of a dramatic text, from research and analysis through rehearsal and final performance. A maximum of eight units of major project study regardless of area (design, directing, stage management, or playwriting) may be used to fulfill major requirements. See department for application. May be taken for credit two times. ","THPR or TDPR 4, THPR or TDPR 104, THDR or TDDR 101, consent of instructor, and department stamp."
TDDM 1,Introduction to Dance Making ,4,"Explores the concepts and processes of dance making through creative projects, discussions, and the examination of major dance works. Recommended preparation: No prior dance experience required. Open to all levels. ",none.
TDDM 5,Site Specific Dance and Performance ,4,"The study of dance and performance creation in relation to the environment, political activism, happenings, and ritual. Students explore ideas within the unique attributes of architecture, natural landscapes, public spaces, visual art, historic landmarks, and cultural contexts. Recommended preparation: No prior dance experience needed. Open to all levels. ",none.
TDDM 100,Dance Making 1 ,4,"Practical and conceptual studies of approaches to dance making. Compositional projects enable students to create short works for solo, duet, and small group situations with options to explore interdisciplinary collaboration, specific sites, text, political and societal issues, and advanced partner work. ",TDDM 1 or consent of instructor.
TDDM 101,Dance Making 2 ,4,"The study of compositional, ensemble, collaborative, and improvisational approaches to dance making. Structures, scores, tasks, imagination, timing, spontaneity, partnering skills, composing in the moment, shared authorship, and experimentation facilitate the development of movement vocabulary. ",TDDM 1 or consent of instructor.
TDGE 1,Introduction to Theatre ,4,An introduction to fundamental concepts in drama and performance. Students will attend performances and learn about how the theatre functions as an art and as an industry in todays world. ,none.
TDGE 3,Cultivating the Creative Mind ,4,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind. Prerequisites: none",none
TDGE 5,A Glimpse into Acting ,4,"An introductory course on acting fundamentals for students without an acting background. Through analysis of acting on film, students will explore the actors craft and practice these skills in studio exercises to better understand how an actor approaches a text.",none.
TDGE 10,Theatre and Film ,4,"Theatre and Film analyzes the essential differences between theatrical and cinematic approaches to drama. Through selected play/film combinations, the course looks at how the director uses actors and the visual languages of the stage and screen to guide and stimulate the audiences responses. ",none.
TDGE 11,Great Performances on Film ,4,Course examines major accomplishments in screen acting from the work of actors in films or in film genres. May be taken for credit three times. ,none.
TDGE 12,Topics in Cinema and Race ,4,"This course explores filmed representations of race and diversity and examines works by underrepresented filmmakers. Course topics vary; they include African American film, Latino/a film, Asian American film, films by Spike Lee, stereotypes on film, and other such topics. Students may not enroll in the same topic of TDGE 12 that they have already taken in TDGE 11, Great Performances on Film. This will count as a duplicate of credit for repeating the same film topic. May be taken for credit two times. ",none.
TDGE 25,Public Speaking ,4,"This course is designed to establish a clear understanding of the fundamentals of effective oral communication. The methodologies explore the integration of relaxation, concentration, organization, and clear voice and diction as applied to various public speaking modes. ",none.
TDGE 50,Musical Theatre Chorus ,2,Study and perform selected songs from American musical theatre. Open to all students. No audition required. Attendance at rehearsals and performance are mandatory. P/NP grades only. May be taken for credit six times. ,none.
TDGE 87,Freshman Seminar in Theatre and Dance ,1,"Seminar on a topic in theatre or dance on a level appropriate for first-year students, conducted in an informal, small group setting limited to ten to twenty students. Topics will vary. ",open to freshmen only.
TDGE 89,Dance Movement Exploration ,2,An introduction to dance movement and understanding your body. A contemporary approach to dancing and its many genres as an expressive medium and form of communication. A movement course but no dance training or background in dance needed. May be taken for credit three times. ,none.
TDGE 100,Creating the Role of “Leader” ,4,"Acting and leadership require “choices” to play a role. The role of leader requires authenticity, collaboration, listening, presence, vision, and influence. Students will explore characteristics of strong leaders, and utilizing traditional acting techniques build powerful capabilities of leadership. No prior theatre/acting experience needed.",upper-division standing or consent of instructor.
TDGE 105,Exploring Acting ,4,"An acting course for nonmajors, building on the acting fundamentals developed in TDGE 5. Using analysis of film acting to practice in studio exercises and scene work, student actors learn to approach a text using imagination as their primary tool. ",TDGE 5 or consent of instructor.
TDGE 122,The Films of Woody Allen ,4,"Students explore a variety of issues: screenwriting, directing, cinematography, and editing; the intersection of comedy and tragedy in Allen's works; recurring themes; and critical responses. Students view thirteen films and write two three-page essays and one ten-page research paper.",upper-division standing.
TDGE 124,Cult Films: Weirdly Dramatic ,4,"A select survey of eight to ten exceptional offbeat, frequently low-budget films from the last sixty years that have attained cult status. The mix includes Tod Browning’s Freaks (1932) to John Water’s Pink Flamingos (1973). Aspects of bad taste, cinematic irony, and theatrical invention will be highlighted.",upper-division standing.
TDGE 125,Topics in Theatre and Film ,4,"Great films and the performance of the actors in them are analyzed in their historical, cinematic, or theatrical contexts. This course examines the actor’s contribution to classic cinema and the social and aesthetic forces at work in film.",upper-division standing or consent of instructor.
TDGE 126,Storytelling and Design in Animation ,4,"This course will use a broad range of animation styles and genres to examine larger issues in art practice, focusing closely on the relationship between form and content, and how sound/set/costume/character design impacts narrative.",upper-division standing or consent of instructor.
